,name
0,Jason Rainbow
1,Jeff Foust
2,Andrew Jones
3,Park Si-soo
4,Sandra Erwin
5,Debra Werner
6,David Pugliese
7,Shelli Brunswick
8,Leonard David
9,SpaceNews Editor
10,Jarosław Adamowski
11,Brian Berger
12,Matthew Bodner
13,Tesat-Spacecom
14,Ayano Akiyama
15,SpaceNews Staff
16,Avio
17,Andrew Parsonson
18,Tony Quine
19,Anusuya Datta
20,Raytheon Intelligence & Space
21,Doug Mohney
22,Tereza Pultarova
23,Jatan Mehta
24,RUAG Space
25,Brianna Gurciullo
26,Caleb Henry
27,Liz Pillow
28,Rod Pyle
29,Lon Rains
30,Robert Z. Pearlman
31,Doris Elin Salazar
32,Megan Gannon
33,Hanneke Weitering
34,Intelsat General
35,Andrew Williams
36,Blaine Curcio
37,Mike Fabey
38,Casey Dreier
39,Phillip Swarts
40,Rob Coppinger
41,Irene Klotz
42,Nobuhiro Kubo
43,Steven Scheer
44,Peter B. de Selding
45,Mike Wall
46,Mike Gruss
47,Walter Scott
48,Sarah Lewin
49,Rebeccah Heinrichs
50,David Logsdon
51,Patrick T. Ingraham
52,Leah Crane
53,Kay Sears
54,K.S. Jayaraman
55,Jack Kim
56,Andrea Shalal
57,Dan Leone
58,Warren Ferster
59,Paul Kallender-Umezu
60,Jonathan Charlton
61,Dmitry Solovyov
62,Rick Barnard
63,John M. Logsdon
64,SpaceNews
65,"Doug Mohney, Special to SpaceNews"
66,Sydney Mineer
67,Elizabeth Howell
68,Kelly Dickerson
69,Misuzu Onuki
70,"Jeff Foust, special to SpaceNews.com"
71,Anatoly Medetsky
72,Tariq Malik
73,"Miriam Kramer, Space.com"
74,"Jeff Foust, Spacepolitics.com"
75,"Mike Wall, Space.com"
76,Tanya Lewis
77,Clara Moskowitz
78,Miriam Kramer
79,"Clara Moskowitz, Space.com"
80,Jim McElhatton
81,Burak Ege Bekdil
82,Robert Zubrin
83,Eric Johnson
84,Marcus Weisgerber
85,Joe Mroszczyk
86,Gilbert D. Rye
87,Albrecht Mueller
88,Barbara Opall-Rome
89,Tom Kington
90,Elizabeth Howe
91,Titus Ledbetter III
92,Charles Q. Choi
93,Zachary Fryer-Biggs
94,Jeff Foust for The Space Review
95,Vivek Raghuvanshi
96,John T. Bennett
97,Paul McLeary
98,Pierre Tran
99,Denise Chow
100,Steve Losey
101,Vago Muradian
102,Clara Moskowitz (53)
103,Sean Reilly
104,Kate Brannen
105,Jenny Deam
106,Denise Chow (50)
107,Umit Enginsoy
108,Tom Ramstack
109,Rachel Bernstein
110,Nicole Blake Johnson
111,Discovery News
112,Amy Klamper
113,Ars Technica
114,Turner Brinton
115,William Harwood
116,Jeremy Hsu
117,Sarah Chacko
118,Amy Svitak
